"id";"categoryId";"foodItemId";"priority"
"1429";"5";"2515";"22"
"1430";"57";"2516";"9"
"1432";"1";"2518";"21"
"1433";"12";"2518";"16"
"1435";"56";"2520";"37"
"1438";"2";"2523";"15"
"1439";"2";"2524";"12"
"1440";"13";"2523";"10"
"1441";"69";"2525";"9"
"1442";"38";"2526";"43"
"1448";"122";"2532";"1"
"1449";"122";"2533";"2"
"1450";"56";"2534";"4"
"1451";"56";"2535";"11"
"1452";"85";"2536";"6"
"1453";"85";"2537";"9"
"1454";"13";"2538";"15"
"1455";"2";"2538";"17"
"1457";"56";"2540";"47"
"1459";"12";"2542";"7"
"1460";"1";"2542";"14"
"1464";"38";"2545";"0"
"1469";"59";"2550";"3"
"1470";"110";"2551";"6"
"1471";"110";"2552";"2"
"1472";"110";"2553";"3"
"1475";"111";"2556";"13"
"1476";"112";"2557";"6"
"1477";"123";"2558";"0"
"1478";"123";"2559";"15"
"1487";"123";"2568";"17"
"1488";"123";"2569";"10"
"1492";"123";"2573";"19"
"1495";"113";"2576";"5"
"1496";"112";"2577";"12"
"1497";"112";"2578";"8"
"1498";"114";"2579";"9"
"1499";"114";"2580";"10"
"1500";"109";"2581";"3"
"1501";"114";"2582";"10"
"1502";"114";"2539";"7"
"1503";"2";"2583";"19"
"1505";"13";"2583";"23"
"1506";"111";"2584";"9"
"1507";"3";"2585";"16"
"1508";"14";"2585";"15"
"1510";"13";"2587";"3"
"1511";"2";"2588";"16"
"1512";"13";"2589";"23"
"1513";"2";"2590";"21"
"1514";"13";"2590";"18"
"1515";"74";"2591";"13"
"1516";"74";"2592";"14"
"1517";"74";"2593";"16"
"1518";"74";"2594";"15"
"1519";"74";"2595";"17"
"1520";"74";"2596";"19"
"1521";"74";"2597";"18"
"1522";"74";"2598";"25"
"1523";"74";"2599";"23"
"1524";"74";"2600";"24"
"1525";"74";"2601";"26"
"1526";"74";"2602";"27"
"1528";"125";"2604";"2"
"1530";"125";"2606";"3"
"1531";"125";"2607";"4"
"1532";"3";"2608";"20"
"1534";"126";"2610";"1"
"1535";"126";"2611";"2"
"1536";"126";"2612";"3"
"1537";"126";"2613";"4"
"1538";"127";"2614";"1"
"1539";"127";"2615";"2"
"1540";"127";"2616";"3"
"1541";"14";"2608";"17"
"1542";"2";"2587";"3"
"1545";"16";"2619";"12"
"1546";"5";"2619";"10"
"1547";"2";"2620";"22"
"1548";"13";"2620";"21"
"1549";"1";"2621";"15"
"1550";"12";"2621";"10"
"1552";"5";"2623";"20"
"1553";"16";"2623";"16"
"1554";"128";"2624";"2"
"1555";"128";"2625";"3"
"1556";"128";"2626";"4"
"1557";"128";"2627";"5"
"1558";"128";"2628";"8"
"1559";"128";"2629";"9"
"1560";"128";"2630";"11"
"1561";"128";"2631";"12"
"1562";"128";"2632";"13"
"1563";"128";"2633";"14"
"1564";"128";"2634";"10"
"1567";"5";"2637";"13"
"1568";"16";"2637";"9"
"1569";"129";"2637";"1"
"1570";"129";"2494";"2"
"1571";"129";"2638";"3"
